timestamp,ALFOST Final Discharge,ALFOST Rotations Biofilter 1,ALFOST Rotations Biofilter 3,ALFOST Rotations Biofilter 2,ALFOST Balance Tank Level
1/9/2023 0:00,19.92303817,241,232,231,62.6374995
1/9/2023 1:00,17.2400985,241,232,231,40.6781245
1/9/2023 2:00,20.38015092,241,232,231,14.10312325
1/9/2023 3:00,14.98381778,241,232,231,0.141664667
1/9/2023 4:00,13.97793553,387,410,391,0.084373002
1/9/2023 5:00,13.00133625,387,410,391,0.093748003
1/9/2023 6:00,11.86514296,387,410,391,0.124998
1/9/2023 7:00,15.51999567,387,410,391,0.099998
1/9/2023 8:00,20.06476917,321,329,297,0.184373
1/9/2023 9:00,18.66092608,321,329,297,6.078123
1/9/2023 10:00,19.84250892,273,249,253,8.009373075
1/9/2023 11:00,17.84040725,273,249,253,10.871873
1/9/2023 12:00,16.10039125,223,190,204,11.053123
1/9/2023 13:00,17.33351313,223,190,204,10.659373
1/9/2023 14:00,18.34320225,153,142,158,11.05833133
1/9/2023 15:00,13.534,153,142,158,11.353123
1/9/2023 16:00,15.5486935,153,142,158,11.4968735
1/9/2023 17:00,16.56453225,231,180,243,11.59374825
1/9/2023 18:00,16.37243363,231,180,243,12.00937325
1/9/2023 19:00,19.00207742,231,180,243,14.062498
1/9/2023 20:00,19.07997075,303,241,294,14.687498
1/9/2023 21:00,17.00319675,303,241,294,14.65624825
1/9/2023 22:00,17.23658471,196,131,183,14.724998
1/9/2023 23:00,12.93866992,196,131,183,14.766665
1/10/2023 0:00,13.01334225,130,116,129,14.71874825
1/10/2023 1:00,12.22562058,130,116,129,14.737498
1/10/2023 2:00,11.76675071,130,116,129,14.7562485
1/10/2023 3:00,11.54771138,130,116,129,14.7468735
1/10/2023 4:00,10.69351657,243,238,246,14.68333133
1/10/2023 5:00,10.42293886,243,238,246,14.74166467
1/10/2023 6:00,10.60625238,243,238,246,14.62916467
1/10/2023 7:00,14.247342,243,238,246,14.678123
1/10/2023 8:00,14.73461675,218,233,227,14.82812325
1/10/2023 9:00,21.19949833,218,233,227,32.61874875
